display_position,editorial_player_key,editorial_team_abbr,editorial_team_full_name,editorial_team_key,eligible_positions,is_undroppable,player_id,player_key,position_type,primary_position,uniform_number,bye_weeks.week,headshot.size,headshot.url,name.ascii_first,name.ascii_last,name.first,name.full,name.last,draft_analysis.average_pick,draft_analysis.average_round,draft_analysis.average_cost,draft_analysis.percent_drafted,status,has_player_notes,player_notes_last_timestamp
K,nfl.p.1111,Car,Carolina Panthers,nfl.t.29,['K'],0,1111,273.p.1111,K,K,2,6,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,John,Kasay,John,John Kasay,Kasay,116.6,12.4,1.2,0.8,,,
K,nfl.p.2034,Det,Detroit Lions,nfl.t.8,['K'],0,2034,273.p.2034,K,K,4,5,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Jason,Hanson,Jason,Jason Hanson,Hanson,115.5,12.4,1.3,0.93,,,
WR,nfl.p.3664,Sea,Seattle Seahawks,nfl.t.26,['WR'],0,3664,273.p.3664,O,WR,10,11,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Terrell,Owens,Terrell,Terrell Owens,Owens,123.1,13.3,2.2,0.05,,,
K,nfl.p.3727,Ind,Indianapolis Colts,nfl.t.11,['K'],0,3727,273.p.3727,K,K,4,4,small,https://s.yimg.com/iu/api/res/1.2/OpHvpCHjl_PQvkeQUgsjsA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08152019/3727.png,Adam,Vinatieri,Adam,Adam Vinatieri,Vinatieri,116.5,12.2,1.3,0.04,,,
K,nfl.p.3888,Chi,Chicago Bears,nfl.t.3,['K'],0,3888,273.p.3888,K,K,10,6,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Olindo,Mare,Olindo,Olindo Mare,Mare,0.0,0.0,0.0,0.0,,,
TE,nfl.p.3950,Atl,Atlanta Falcons,nfl.t.1,['TE'],0,3950,273.p.3950,O,TE,88,7,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Tony,Gonzalez,Tony,Tony Gonzalez,Gonzalez,83.8,9.1,5.7,1.0,,,
K,nfl.p.4080,GB,Green Bay Packers,nfl.t.9,['K'],0,4080,273.p.4080,K,K,7,10,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Ryan,Longwell,Ryan,Ryan Longwell,Longwell,0.0,0.0,0.0,0.0,,,
QB,nfl.p.4256,Den,Denver Broncos,nfl.t.7,['QB'],0,4256,273.p.4256,O,QB,18,7,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Peyton,Manning,Peyton,Peyton Manning,Manning,56.7,6.3,14.4,1.0,,,
WR,nfl.p.4262,SF,San Francisco 49ers,nfl.t.25,['WR'],0,4262,273.p.4262,O,WR,84,9,small,https://s.yimg.com/iu/api/res/1.2/TcM85WhJ.fAOHWf2QKLjIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMDA7Y3I9MTtjdz0xNTM7ZHg9NzQ7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/dh/ap/default/140828/silhouette@2x.png,Randy,Moss,Randy,Randy Moss,Moss,121.1,12.8,3.3,0.69,,,
K,nfl.p.4269,Cle,Cleveland Browns,nfl.t.5,['K'],0,4269,273.p.4269,K,K,4,10,small,https://s.yimg.com/iu/api/res/1.2/z4ki.EZ6BaZpDw0ptfBNCw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09202018/4269.png,Phil,Dawson,Phil,Phil Dawson,Dawson,119.9,12.7,1.1,0.03,,,
