Pick,Round,Team,Player,Season
1,1,314.l.731544.t.5,314.p.8261,2013
2,1,314.l.731544.t.3,314.p.9527,2013
3,1,314.l.731544.t.7,314.p.25741,2013
4,1,314.l.731544.t.9,314.p.23984,2013
5,1,314.l.731544.t.4,314.p.9317,2013
6,1,314.l.731544.t.11,314.p.8850,2013
7,1,314.l.731544.t.2,314.p.8266,2013
8,1,314.l.731544.t.6,314.p.8832,2013
9,1,314.l.731544.t.12,314.p.7200,2013
10,1,314.l.731544.t.10,314.p.8256,2013
11,1,314.l.731544.t.1,314.p.5479,2013
12,1,314.l.731544.t.8,314.p.23999,2013
13,2,314.l.731544.t.8,314.p.24070,2013
14,2,314.l.731544.t.1,314.p.3950,2013
15,2,314.l.731544.t.10,314.p.6783,2013
16,2,314.l.731544.t.12,314.p.7868,2013
17,2,314.l.731544.t.6,314.p.25883,2013
18,2,314.l.731544.t.2,314.p.25713,2013
19,2,314.l.731544.t.11,314.p.24791,2013
20,2,314.l.731544.t.4,314.p.8821,2013
21,2,314.l.731544.t.9,314.p.7809,2013
22,2,314.l.731544.t.7,314.p.8801,2013
23,2,314.l.731544.t.3,314.p.24860,2013
24,2,314.l.731544.t.5,314.p.24793,2013
25,3,314.l.731544.t.5,314.p.4256,2013
26,3,314.l.731544.t.3,314.p.5228,2013
27,3,314.l.731544.t.7,314.p.6339,2013
28,3,314.l.731544.t.9,314.p.23997,2013
29,3,314.l.731544.t.4,314.p.6762,2013
30,3,314.l.731544.t.11,314.p.7203,2013
31,3,314.l.731544.t.2,314.p.7237,2013
32,3,314.l.731544.t.6,314.p.24553,2013
33,3,314.l.731544.t.12,314.p.7241,2013
34,3,314.l.731544.t.10,314.p.8780,2013
35,3,314.l.731544.t.1,314.p.9037,2013
36,3,314.l.731544.t.8,314.p.7751,2013
37,4,314.l.731544.t.8,314.p.25742,2013
38,4,314.l.731544.t.1,314.p.8504,2013
39,4,314.l.731544.t.10,314.p.24851,2013
40,4,314.l.731544.t.12,314.p.24788,2013
41,4,314.l.731544.t.6,314.p.25785,2013
42,4,314.l.731544.t.2,314.p.8001,2013
43,4,314.l.731544.t.11,314.p.24845,2013
44,4,314.l.731544.t.4,314.p.8277,2013
45,4,314.l.731544.t.9,314.p.8982,2013
46,4,314.l.731544.t.7,314.p.9265,2013
47,4,314.l.731544.t.3,314.p.9293,2013
48,4,314.l.731544.t.5,314.p.7755,2013
49,5,314.l.731544.t.5,314.p.6390,2013
50,5,314.l.731544.t.3,314.p.5477,2013
51,5,314.l.731544.t.7,314.p.5521,2013
52,5,314.l.731544.t.9,314.p.24823,2013
53,5,314.l.731544.t.4,314.p.24062,2013
54,5,314.l.731544.t.11,314.p.8781,2013
55,5,314.l.731544.t.2,314.p.24858,2013
56,5,314.l.731544.t.6,314.p.24171,2013
57,5,314.l.731544.t.12,314.p.26684,2013
58,5,314.l.731544.t.10,314.p.7306,2013
59,5,314.l.731544.t.1,314.p.8332,2013
60,5,314.l.731544.t.8,314.p.9348,2013
61,6,314.l.731544.t.8,314.p.25712,2013
62,6,314.l.731544.t.1,314.p.100003,2013
63,6,314.l.731544.t.10,314.p.8813,2013
64,6,314.l.731544.t.12,314.p.100025,2013
65,6,314.l.731544.t.6,314.p.100026,2013
66,6,314.l.731544.t.2,314.p.25711,2013
67,6,314.l.731544.t.11,314.p.7027,2013
68,6,314.l.731544.t.4,314.p.24017,2013
69,6,314.l.731544.t.9,314.p.8826,2013
70,6,314.l.731544.t.7,314.p.6405,2013
71,6,314.l.731544.t.3,314.p.8285,2013
72,6,314.l.731544.t.5,314.p.7776,2013
73,7,314.l.731544.t.5,314.p.24035,2013
74,7,314.l.731544.t.3,314.p.25807,2013
75,7,314.l.731544.t.7,314.p.100034,2013
76,7,314.l.731544.t.9,314.p.8868,2013
77,7,314.l.731544.t.4,314.p.6624,2013
78,7,314.l.731544.t.11,314.p.23987,2013
79,7,314.l.731544.t.2,314.p.9353,2013
80,7,314.l.731544.t.6,314.p.7847,2013
81,7,314.l.731544.t.12,314.p.7801,2013
82,7,314.l.731544.t.10,314.p.24830,2013
83,7,314.l.731544.t.1,314.p.9039,2013
84,7,314.l.731544.t.8,314.p.24076,2013
85,8,314.l.731544.t.8,314.p.100007,2013
86,8,314.l.731544.t.1,314.p.8021,2013
87,8,314.l.731544.t.10,314.p.100017,2013
88,8,314.l.731544.t.12,314.p.26631,2013
89,8,314.l.731544.t.6,314.p.9001,2013
90,8,314.l.731544.t.2,314.p.25802,2013
91,8,314.l.731544.t.11,314.p.9393,2013
92,8,314.l.731544.t.4,314.p.26660,2013
93,8,314.l.731544.t.9,314.p.100004,2013
94,8,314.l.731544.t.7,314.p.25962,2013
95,8,314.l.731544.t.3,314.p.24901,2013
96,8,314.l.731544.t.5,314.p.6849,2013
