Pick,Round,Team,Player,Season
1,1,359.l.185373.t.3,359.p.24171,2016
2,1,359.l.185373.t.2,359.p.27540,2016
3,1,359.l.185373.t.1,359.p.28398,2016
4,1,359.l.185373.t.9,359.p.24793,2016
5,1,359.l.185373.t.10,359.p.28474,2016
6,1,359.l.185373.t.6,359.p.29238,2016
7,1,359.l.185373.t.8,359.p.26650,2016
8,1,359.l.185373.t.7,359.p.8261,2016
9,1,359.l.185373.t.5,359.p.24791,2016
10,1,359.l.185373.t.4,359.p.25807,2016
11,2,359.l.185373.t.4,359.p.27535,2016
12,2,359.l.185373.t.5,359.p.26671,2016
13,2,359.l.185373.t.7,359.p.24017,2016
14,2,359.l.185373.t.8,359.p.7868,2016
15,2,359.l.185373.t.6,359.p.25741,2016
16,2,359.l.185373.t.10,359.p.23999,2016
17,2,359.l.185373.t.9,359.p.27589,2016
18,2,359.l.185373.t.1,359.p.8850,2016
19,2,359.l.185373.t.2,359.p.8813,2016
20,2,359.l.185373.t.3,359.p.27548,2016
21,3,359.l.185373.t.3,359.p.26699,2016
22,3,359.l.185373.t.2,359.p.9317,2016
23,3,359.l.185373.t.1,359.p.27631,2016
24,3,359.l.185373.t.9,359.p.24815,2016
25,3,359.l.185373.t.10,359.p.27532,2016
26,3,359.l.185373.t.6,359.p.28392,2016
27,3,359.l.185373.t.8,359.p.26684,2016
28,3,359.l.185373.t.7,359.p.25755,2016
29,3,359.l.185373.t.5,359.p.7200,2016
30,3,359.l.185373.t.4,359.p.27585,2016
31,4,359.l.185373.t.4,359.p.24851,2016
32,4,359.l.185373.t.5,359.p.25802,2016
33,4,359.l.185373.t.7,359.p.24788,2016
34,4,359.l.185373.t.8,359.p.23997,2016
35,4,359.l.185373.t.6,359.p.24062,2016
36,4,359.l.185373.t.10,359.p.6770,2016
37,4,359.l.185373.t.9,359.p.26878,2016
38,4,359.l.185373.t.1,359.p.25785,2016
39,4,359.l.185373.t.2,359.p.9283,2016
40,4,359.l.185373.t.3,359.p.26708,2016
41,5,359.l.185373.t.3,359.p.26804,2016
42,5,359.l.185373.t.2,359.p.8285,2016
43,5,359.l.185373.t.1,359.p.7776,2016
44,5,359.l.185373.t.9,359.p.25711,2016
45,5,359.l.185373.t.10,359.p.27591,2016
46,5,359.l.185373.t.6,359.p.27618,2016
47,5,359.l.185373.t.8,359.p.24858,2016
48,5,359.l.185373.t.7,359.p.25105,2016
49,5,359.l.185373.t.5,359.p.28714,2016
50,5,359.l.185373.t.4,359.p.24035,2016
51,6,359.l.185373.t.4,359.p.8790,2016
52,6,359.l.185373.t.5,359.p.27556,2016
53,6,359.l.185373.t.7,359.p.8821,2016
54,6,359.l.185373.t.8,359.p.5479,2016
55,6,359.l.185373.t.6,359.p.9496,2016
56,6,359.l.185373.t.10,359.p.26686,2016
57,6,359.l.185373.t.9,359.p.25723,2016
58,6,359.l.185373.t.1,359.p.27874,2016
59,6,359.l.185373.t.2,359.p.27583,2016
60,6,359.l.185373.t.3,359.p.28483,2016
61,7,359.l.185373.t.3,359.p.9527,2016
62,7,359.l.185373.t.2,359.p.9560,2016
