Pick,Round,Team,Player,Season
1,1,371.l.525547.t.3,371.p.28474,2017
2,1,371.l.525547.t.2,371.p.26671,2017
3,1,371.l.525547.t.8,371.p.24171,2017
4,1,371.l.525547.t.7,371.p.24793,2017
5,1,371.l.525547.t.9,371.p.5228,2017
6,1,371.l.525547.t.10,371.p.9317,2017
7,1,371.l.525547.t.4,371.p.27540,2017
8,1,371.l.525547.t.1,371.p.24791,2017
9,1,371.l.525547.t.5,371.p.8813,2017
10,1,371.l.525547.t.6,371.p.28537,2017
11,2,371.l.525547.t.6,371.p.27535,2017
12,2,371.l.525547.t.5,371.p.27631,2017
13,2,371.l.525547.t.1,371.p.29281,2017
14,2,371.l.525547.t.4,371.p.28403,2017
15,2,371.l.525547.t.10,371.p.29384,2017
16,2,371.l.525547.t.9,371.p.28398,2017
17,2,371.l.525547.t.7,371.p.23999,2017
18,2,371.l.525547.t.8,371.p.29238,2017
19,2,371.l.525547.t.2,371.p.24858,2017
20,2,371.l.525547.t.3,371.p.28392,2017
21,3,371.l.525547.t.3,371.p.27548,2017
22,3,371.l.525547.t.2,371.p.24017,2017
23,3,371.l.525547.t.8,371.p.30154,2017
24,3,371.l.525547.t.7,371.p.25807,2017
25,3,371.l.525547.t.9,371.p.25105,2017
26,3,371.l.525547.t.10,371.p.25802,2017
27,3,371.l.525547.t.4,371.p.30199,2017
28,3,371.l.525547.t.1,371.p.30117,2017
29,3,371.l.525547.t.5,371.p.7200,2017
30,3,371.l.525547.t.6,371.p.26699,2017
31,4,371.l.525547.t.6,371.p.27646,2017
32,4,371.l.525547.t.5,371.p.28014,2017
33,4,371.l.525547.t.1,371.p.30121,2017
34,4,371.l.525547.t.4,371.p.27585,2017
35,4,371.l.525547.t.10,371.p.25681,2017
36,4,371.l.525547.t.9,371.p.26686,2017
37,4,371.l.525547.t.7,371.p.5479,2017
38,4,371.l.525547.t.8,371.p.9274,2017
39,4,371.l.525547.t.2,371.p.26650,2017
40,4,371.l.525547.t.3,371.p.28482,2017
41,5,371.l.525547.t.3,371.p.23997,2017
42,5,371.l.525547.t.2,371.p.25755,2017
43,5,371.l.525547.t.8,371.p.28442,2017
44,5,371.l.525547.t.7,371.p.27581,2017
45,5,371.l.525547.t.9,371.p.27556,2017
46,5,371.l.525547.t.10,371.p.8266,2017
47,5,371.l.525547.t.4,371.p.30161,2017
48,5,371.l.525547.t.1,371.p.29399,2017
49,5,371.l.525547.t.5,371.p.27589,2017
50,5,371.l.525547.t.6,371.p.24815,2017
51,6,371.l.525547.t.6,371.p.24070,2017
52,6,371.l.525547.t.5,371.p.8285,2017
53,6,371.l.525547.t.1,371.p.8780,2017
