allow_add_to_dl_extra_pos,current_week,draft_status,edit_key,end_date,end_week,game_code,iris_group_chat_id,is_cash_league,is_finished,is_pro_league,league_id,league_key,league_type,league_update_timestamp,logo_url,name,num_teams,password,renew,renewed,scoring_type,season,short_invitation_url,start_date,start_week,url,weekly_deadline,game_id
0,17,postdraft,17,2022-01-03,17,nfl,,0,1.0,0,103661,406.l.103661,private,1642058898.0,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/40384192006_72c3bc.png,Men of Madison,10,,399_12514,414_77446,head,2021,https://football.fantasysports.yahoo.com/2021/f1/103661/invitation?key=e37e3446bd3dc59c&ikey=d4789d8a2364846d,2021-09-09,1,https://football.fantasysports.yahoo.com/2021/f1/103661,,406
0,16,postdraft,16,2020-12-28,16,nfl,,0,1.0,0,12514,399.l.12514,private,1610007199.0,0,Men of Madison,10,,390_215172,406_103661,head,2020,https://football.fantasysports.yahoo.com/2020/f1/12514/invitation?key=6bf080e01f6d396d&ikey=e1e338497ead6f7c,2020-09-10,1,https://football.fantasysports.yahoo.com/2020/f1/12514,,399
0,16,postdraft,16,2019-12-23,16,nfl,,0,1.0,0,215172,390.l.215172,private,1577870097.0,0,Men of Madison,10,,380_236583,399_12514,head,2019,https://football.fantasysports.yahoo.com/2019/f1/215172/invitation?key=283b947ad462aa17&ikey=a55029749bb1a8a9,2019-09-05,1,https://football.fantasysports.yahoo.com/2019/f1/215172,,390
0,16,postdraft,16,2015-12-28,16,nfl,,0,1.0,0,570821,348.l.570821,private,1452151102.0,0,Men of Madison,10,,,359_185373,head,2015,https://football.fantasysports.yahoo.com/2015/f1/570821/invitation?key=6803eb8bdbbccb9d&ikey=6538783078ba719d,2015-09-10,1,https://football.fantasysports.yahoo.com/2015/f1/570821,,348
0,16,postdraft,16,2014-12-22,16,nfl,,0,1.0,0,793441,331.l.793441,private,1420100155.0,0,james madison alum,10,,,,head,2014,,2014-09-04,1,https://football.fantasysports.yahoo.com/2014/f1/793441,,331
0,16,postdraft,16,2013-12-23,16,nfl,,0,1.0,0,731544,314.l.731544,private,1388397148.0,0,JMU PEKers,12,,,,head,2013,,2013-09-05,1,https://football.fantasysports.yahoo.com/2013/f1/731544,,314
0,1,predraft,1,2023-01-02,17,nfl,,0,,0,77446,414.l.77446,private,,0,Men of Madison,9,,406_103661,,head,2022,https://football.fantasysports.yahoo.com/f1/77446/invitation?key=a22df97cbedff15f&ikey=4dd0f836768954f5,2022-09-08,1,https://football.fantasysports.yahoo.com/f1/77446,,414
0,16,postdraft,16,2018-12-24,16,nfl,,0,1.0,0,236583,380.l.236583,private,1546499614.0,https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/40384192006_72c3bc.jpg,Men of Madison,10,,371_525547,390_215172,head,2018,https://football.fantasysports.yahoo.com/2018/f1/236583/invitation?key=d1a3cf74db155b1c&ikey=f228e6cf0fe88ba3,2018-09-06,1,https://football.fantasysports.yahoo.com/2018/f1/236583,,380
0,16,postdraft,16,2017-12-25,16,nfl,,0,1.0,0,525547,371.l.525547,private,1515057345.0,0,Men of Madison,10,,359_185373,380_236583,head,2017,https://football.fantasysports.yahoo.com/2017/f1/525547/invitation?key=7dc34b2815833e8b&ikey=ccdebb5b65597ad8,2017-09-07,1,https://football.fantasysports.yahoo.com/2017/f1/525547,,371
0,16,postdraft,16,2016-12-26,16,nfl,,0,1.0,0,185373,359.l.185373,private,1483603601.0,0,Men of Madison,10,,348_570821,371_525547,head,2016,https://football.fantasysports.yahoo.com/2016/f1/185373/invitation?key=99f1dcf7695cb62e&ikey=3b880bd780b053d4,2016-09-08,1,https://football.fantasysports.yahoo.com/2016/f1/185373,,359
0,17,postdraft,17,2012-12-30,17,nfl,,0,1.0,0,777818,273.l.777818,private,1357337918.0,0,Tits,12,,,,head,2012,,2012-09-05,1,https://football.fantasysports.yahoo.com/2012/f1/777818,,273
